tier,wins,losses,veteran,inactive,freshBlood,hotStreak,role,winRate,totalGames,region
MASTER,154,147,False,False,True,False,Bottom,51.16,301,EuropeWest
MASTER,136,60,False,False,True,True,Jungle,69.39,196,EuropeWest
MASTER,102,90,False,False,False,False,Bottom,53.12,192,EuropeWest
MASTER,73,51,False,False,False,False,Mid,58.87,124,EuropeWest
MASTER,281,262,False,False,True,False,Bottom,51.75,543,EuropeWest
MASTER,233,222,False,False,True,False,Bottom,51.21,455,EuropeWest
MASTER,144,138,False,False,False,True,Top,51.06,282,EuropeWest
MASTER,138,127,False,False,True,False,Top,52.08,265,EuropeWest
MASTER,132,125,False,False,False,False,Mid,51.36,257,EuropeWest
MASTER,79,74,False,False,False,True,Bottom,51.63,153,EuropeWest
MASTER,68,57,False,False,False,True,Bottom,54.4,125,EuropeWest
MASTER,49,44,False,False,False,False,Mid,52.69,93,EuropeWest
MASTER,34,19,False,False,False,False,Bottom,64.15,53,EuropeWest
MASTER,115,102,False,False,False,False,Bottom,53.0,217,EuropeWest
MASTER,100,88,False,False,True,False,Top,53.19,188,EuropeWest
MASTER,85,68,False,False,False,True,Mid,55.56,153,EuropeWest
MASTER,68,63,False,False,False,False,Top,51.91,131,EuropeWest
MASTER,33,29,False,False,False,False,Jungle,53.23,62,EuropeWest
MASTER,266,261,False,False,True,True,Mid,50.47,527,EuropeWest
MASTER,209,128,False,False,True,False,Bottom,62.02,337,EuropeWest
MASTER,188,147,False,False,False,False,Bottom,56.12,335,EuropeWest
MASTER,120,91,False,False,True,False,Top,56.87,211,EuropeWest
MASTER,100,100,False,False,False,False,Jungle,50.0,200,EuropeWest
MASTER,72,68,False,False,False,False,Mid,51.43,140,EuropeWest
MASTER,35,15,False,False,True,False,Jungle,70.0,50,EuropeWest
MASTER,351,348,False,False,True,False,Bottom,50.21,699,EuropeWest
MASTER,209,165,False,False,False,False,Jungle,55.88,374,EuropeWest
MASTER,142,149,False,False,True,False,Bottom,48.8,291,EuropeWest
MASTER,103,90,False,False,False,False,Top,53.37,193,EuropeWest
MASTER,83,77,False,False,False,False,Mid,51.88,160,EuropeWest
MASTER,78,67,False,False,False,True,Top,53.79,145,EuropeWest
MASTER,77,30,False,False,False,False,Bottom,71.96,107,EuropeWest
MASTER,179,172,False,False,True,True,Top,51.0,351,EuropeWest
MASTER,169,154,False,False,False,False,Top,52.32,323,EuropeWest
MASTER,138,121,False,False,False,False,Mid,53.28,259,EuropeWest
MASTER,118,97,False,False,True,True,Bottom,54.88,215,EuropeWest
MASTER,118,107,False,False,False,False,Bottom,52.44,225,EuropeWest
MASTER,93,71,False,False,False,True,Jungle,56.71,164,EuropeWest
MASTER,91,73,False,False,True,True,Top,55.49,164,EuropeWest
MASTER,37,22,False,False,False,False,Mid,62.71,59,EuropeWest
MASTER,295,299,False,False,True,False,Bottom,49.66,594,EuropeWest
MASTER,247,216,False,False,False,False,Jungle,53.35,463,EuropeWest
MASTER,126,114,False,False,False,True,Jungle,52.5,240,EuropeWest
MASTER,101,89,False,False,False,False,Mid,53.16,190,EuropeWest
MASTER,95,67,False,False,False,False,Bottom,58.64,162,EuropeWest
MASTER,199,180,False,False,True,False,Jungle,52.51,379,EuropeWest
MASTER,188,160,False,False,False,False,Bottom,54.02,348,EuropeWest
MASTER,150,142,False,False,False,True,Mid,51.37,292,EuropeWest
MASTER,128,113,False,False,True,False,Bottom,53.11,241,EuropeWest
MASTER,96,86,False,False,True,False,Bottom,52.75,182,EuropeWest
MASTER,88,62,False,False,False,False,Top,58.67,150,EuropeWest
MASTER,76,53,False,False,True,False,Top,58.91,129,EuropeWest
MASTER,50,31,False,False,False,False,Jungle,61.73,81,EuropeWest
MASTER,45,35,False,False,False,False,Mid,56.25,80,EuropeWest
MASTER,204,183,False,False,True,False,Mid,52.71,387,EuropeWest
MASTER,200,179,False,False,False,False,Mid,52.77,379,EuropeWest
MASTER,156,134,False,False,True,False,Mid,53.79,290,EuropeWest
MASTER,147,79,False,False,True,False,Jungle,65.04,226,EuropeWest
MASTER,114,109,False,False,False,False,Mid,51.12,223,EuropeWest
MASTER,113,104,False,False,True,False,Bottom,52.07,217,EuropeWest
MASTER,110,104,False,False,False,False,Mid,51.4,214,EuropeWest
MASTER,45,26,False,False,False,False,Bottom,63.38,71,EuropeWest
MASTER,259,247,False,False,False,False,Mid,51.19,506,EuropeWest
MASTER,120,117,False,False,False,False,Mid,50.63,237,EuropeWest
MASTER,103,35,False,False,True,False,Bottom,74.64,138,EuropeWest
MASTER,82,76,False,False,False,False,Jungle,51.9,158,EuropeWest
MASTER,369,341,False,False,True,False,Bottom,51.97,710,EuropeWest
MASTER,255,244,False,False,True,False,Jungle,51.1,499,EuropeWest
MASTER,227,227,False,False,True,False,Bottom,50.0,454,EuropeWest
MASTER,179,177,False,False,False,True,Mid,50.28,356,EuropeWest
MASTER,151,153,False,False,True,False,Bottom,49.67,304,EuropeWest
MASTER,122,81,False,False,True,False,Top,60.1,203,EuropeWest
MASTER,119,116,False,False,False,False,Mid,50.64,235,EuropeWest
MASTER,103,89,False,False,True,False,Top,53.65,192,EuropeWest
MASTER,103,95,False,False,False,False,Bottom,52.02,198,EuropeWest
MASTER,60,51,False,False,True,False,Bottom,54.05,111,EuropeWest
MASTER,53,50,False,False,False,False,Bottom,51.46,103,EuropeWest
MASTER,195,136,False,False,True,False,Bottom,58.91,331,EuropeWest
MASTER,158,150,False,False,False,False,Bottom,51.3,308,EuropeWest
MASTER,111,79,False,False,False,False,Jungle,58.42,190,EuropeWest
MASTER,108,103,False,False,False,False,Bottom,51.18,211,EuropeWest
MASTER,59,46,False,False,False,False,Bottom,56.19,105,EuropeWest
